timestamp,norm_min_cpu,norm_max_cpu,norm_avg
1/2/2017 9:05,0.1109,0.1991,0.1550
1/2/2017 9:10,0.1268,0.2198,0.1733
1/2/2017 9:15,0.1265,0.2193,0.1729
1/2/2017 9:20,0.1143,0.2030,0.1587
1/2/2017 9:25,0.1340,0.2525,0.1933
1/2/2017 9:30,0.1285,0.2222,0.1754
1/2/2017 9:35,0.1454,0.2285,0.1869
1/2/2017 9:40,0.1415,0.2361,0.1888
1/2/2017 9:45,0.1595,0.2208,0.1901
1/2/2017 9:50,0.1570,0.2088,0.1829
1/2/2017 9:55,0.1459,0.2275,0.1867
1/2/2017 10:00,0.1560,0.2264,0.1912
1/2/2017 10:05,0.1670,0.2214,0.1942
1/2/2017 10:10,0.1557,0.2426,0.1991
1/2/2017 10:15,0.1925,0.2517,0.2221
1/2/2017 10:20,0.2166,0.2530,0.2348
1/2/2017 10:25,0.1889,0.3022,0.2456
1/2/2017 10:30,0.1783,0.2592,0.2188
1/2/2017 10:35,0.1886,0.2596,0.2241
1/2/2017 10:40,0.1723,0.2656,0.2189
1/2/2017 10:45,0.1815,0.2423,0.2119
1/2/2017 10:50,0.1890,0.2301,0.2095
1/2/2017 10:55,0.1717,0.2447,0.2082
1/2/2017 11:00,0.1836,0.2365,0.2101
1/2/2017 11:05,0.1859,0.2320,0.2089
1/2/2017 11:10,0.1664,0.2617,0.2140
1/2/2017 11:15,0.1858,0.2498,0.2178
1/2/2017 11:20,0.1952,0.2488,0.2220
1/2/2017 11:25,0.1865,0.2902,0.2384
1/2/2017 11:30,0.1993,0.2692,0.2343
1/2/2017 11:35,0.2166,0.2871,0.2518
1/2/2017 11:40,0.2086,0.2948,0.2517
1/2/2017 11:45,0.2292,0.2812,0.2552
1/2/2017 11:50,0.2362,0.2670,0.2516
1/2/2017 11:55,0.2131,0.2792,0.2462
1/2/2017 12:00,0.2268,0.2629,0.2448
1/2/2017 12:05,0.2325,0.2693,0.2509
1/2/2017 12:10,0.1882,0.2906,0.2394
1/2/2017 12:15,0.2268,0.2965,0.2617
1/2/2017 12:20,0.2428,0.3019,0.2723
1/2/2017 12:25,0.2101,0.3407,0.2754
1/2/2017 12:30,0.2216,0.3001,0.2609
1/2/2017 12:35,0.2249,0.2997,0.2623
1/2/2017 12:40,0.2083,0.2994,0.2539
1/2/2017 12:45,0.2274,0.2913,0.2593
1/2/2017 12:50,0.2383,0.2954,0.2669
1/2/2017 12:55,0.2448,0.3228,0.2838
1/2/2017 13:00,0.2430,0.3034,0.2732
1/2/2017 13:05,0.2407,0.2991,0.2699
1/2/2017 13:10,0.2025,0.2960,0.2492
1/2/2017 13:15,0.2228,0.3016,0.2622
1/2/2017 13:20,0.2346,0.3236,0.2791
1/2/2017 13:25,0.2131,0.3594,0.2862
1/2/2017 13:30,0.2444,0.3423,0.2933
1/2/2017 13:35,0.2538,0.3309,0.2924
1/2/2017 13:40,0.2442,0.3195,0.2819
1/2/2017 13:45,0.2410,0.3048,0.2729
1/2/2017 13:50,0.2520,0.2997,0.2759
1/2/2017 13:55,0.2293,0.3080,0.2686
1/2/2017 14:00,0.2468,0.2918,0.2693
1/2/2017 14:05,0.2697,0.3116,0.2906
1/2/2017 14:10,0.2375,0.3297,0.2836
1/2/2017 14:15,0.2603,0.3246,0.2925
1/2/2017 14:20,0.2682,0.3259,0.2970
1/2/2017 14:25,0.2872,0.4381,0.3627
1/2/2017 14:30,0.3205,0.3777,0.3491
1/2/2017 14:35,0.3115,0.3879,0.3497
1/2/2017 14:40,0.2910,0.3746,0.3328
